country,temperature_celsius_mean,temperature_celsius_min,temperature_celsius_max,humidity_mean,humidity_min,humidity_max,precipitation_mm_sum,precipitation_mm_mean,wind_mph_mean,wind_mph_max,air_quality_index_mean,air_quality_index_min,air_quality_index_max
Ecuador,10.352683896620277,6.7,18.9,80.90854870775348,42,97,0,0.0,3.157256461232605,12.5,0.0,0,0
Egypt,28.050493096646942,13.0,42.4,39.005917159763314,8,78,0,0.0,9.368441814595661,26.6,0.0,0,0
El Salvador,23.5695219123506,16.7,30.0,90.00796812749005,45,100,0,0.0,2.951394422310757,26.6,0.0,0,0
Equatorial Guinea,27.532086614173227,23.1,33.4,83.74212598425197,63,100,0,0.0,5.16279527559055,16.1,0.0,0,0
Eritrea,21.94055118110236,14.2,28.0,43.29724409448819,11,89,0,0.0,7.258070866141732,20.6,0.0,0,0
Estonia,12.185798816568047,-6.9,32.3,69.91124260355029,24,100,0,0.0,11.204536489151874,32.2,0.0,0,0
Estonie,23.3,23.3,23.3,61.0,61,61,0,0.0,10.5,10.5,0.0,0,0
Ethiopia,20.456719367588935,13.2,29.4,52.58498023715415,13,100,0,0.0,7.0254940711462455,169.1,0.0,0,0
Fiji Islands,24.04311023622047,17.3,28.2,90.75393700787401,61,100,0,0.0,7.257086614173228,106.9,0.0,0,0
Finland,12.069291338582676,-9.9,29.1,70.64763779527559,19,100,0,0.0,10.753937007874017,27.1,0.0,0,0
France,15.395069033530572,-0.8,36.8,71.65680473372781,25,100,0,0.0,7.826035502958581,19.9,0.0,0,0
Gabon,27.26173570019724,22.9,31.3,81.0,61,100,0,0.0,6.27120315581854,13.0,0.0,0,0
Gambia,26.04209486166008,19.1,36.4,69.90316205533597,17,100,0,0.0,9.707114624505929,32.4,0.0,0,0
Georgia,20.253754940711463,-1.7,37.4,50.616600790513836,16,100,0,0.0,7.188735177865612,32.2,0.0,0,0
Germany,15.061614173228346,-3.0,33.3,65.37992125984252,23,100,0,0.0,9.160629921259844,24.2,0.0,0,0
Ghana,27.756889763779526,23.0,33.2,78.65748031496064,29,100,0,0.0,9.111220472440944,23.0,0.0,0,0
Greece,24.810119047619047,6.3,39.3,43.01984126984127,11,94,0,0.0,9.98690476190476,29.1,0.0,0,0
Grenada,27.37420634920635,23.1,32.0,82.55357142857143,66,100,0,0.0,12.689087301587302,23.5,0.0,0,0
Guatemala,17.454581673306773,11.5,25.0,91.25298804780877,61,100,0,0.0,3.908565737051793,20.6,0.0,0,0
Guinea,26.515779092702168,23.1,33.0,82.90138067061145,41,100,0,0.0,7.002958579881657,24.6,0.0,0,0
Guinea-Bissau,26.512795275590552,19.2,38.0,73.61023622047244,19,100,0,0.0,7.5279527559055115,21.9,0.0,0,0
Guyana,24.822574257425742,20.1,31.4,94.03960396039604,69,100,0,0.0,5.4504950495049505,13.6,0.0,0,0
Haiti,22.097817460317458,14.8,32.3,86.51587301587301,55,97,0,0.0,4.831150793650794,21.7,0.0,0,0
Honduras,19.323260437375748,11.7,27.0,88.13320079522863,61,100,0,0.0,3.780914512922465,13.6,0.0,0,0
Hungary,17.6173828125,-2.6,37.1,57.140625,13,100,0,0.0,7.243359375,21.7,0.0,0,0
Iceland,6.859763313609467,-5.7,17.2,82.14201183431953,48,100,0,0.0,16.042800788954636,56.6,0.0,0,0
Inde,31.2,31.2,31.2,71.0,71,71,0,0.0,4.3,4.3,0.0,0,0
India,31.875691699604744,14.3,44.8,44.42885375494071,6,100,0,0.0,6.6909090909090905,21.9,0.0,0,0
Indonesia,27.79331366764995,18.0,34.4,75.38053097345133,38,97,0,0.0,6.563815142576204,19.9,0.0,0,0
Iran,22.14043392504931,-9.4,39.9,25.481262327416175,5,99,0,0.0,8.429092702169626,32.2,0.0,0,0
Iraq,32.798031496063,9.2,49.1,23.25984251968504,4,93,0,0.0,11.43287401574803,31.3,0.0,0,0
Ireland,12.412450592885374,-2.8,23.2,78.93280632411067,48,100,0,0.0,9.940118577075099,33.8,0.0,0,0
Israel,25.776725838264298,8.2,39.0,45.80670611439842,9,94,0,0.0,9.57061143984221,33.8,0.0,0,0
Italy,21.864694280078893,6.3,37.7,60.02958579881657,18,100,0,0.0,6.782840236686391,27.5,0.0,0,0
Jamaica,27.23452380952381,21.9,33.0,78.12103174603175,48,98,0,0.0,4.704166666666667,25.5,0.0,0,0
Japan,21.438779527559053,3.1,37.1,65.35039370078741,21,100,0,0.0,11.466141732283464,35.3,0.0,0,0
Jemen,26.1,26.1,26.1,34.0,34,34,0,0.0,9.2,9.2,0.0,0,0
Jordan,24.597637795275592,4.0,41.1,35.45472440944882,8,89,0,0.0,11.038976377952757,31.1,0.0,0,0
Kazakhstan,12.303747534516765,-23.8,35.0,57.69033530571992,17,100,0,0.0,11.394871794871795,30.0,0.0,0,0
Kenya,22.36738703339882,15.1,28.4,55.29273084479372,17,100,0,0.0,7.609233791748526,20.4,0.0,0,0
Kiribati,27.9098814229249,26.2,29.6,75.25494071146245,63,85,0,0.0,13.093675889328063,21.9,0.0,0,0
Komoren,25.2,25.2,25.2,71.0,71,71,0,0.0,15.4,15.4,0.0,0,0
Kosovo,29.3,29.3,29.3,42.0,42,42,0,0.0,5.8,5.8,0.0,0,0
Kuwait,34.54940944881889,11.7,49.2,22.177165354330707,4,96,0,0.0,10.934448818897637,27.1,0.0,0,0
Kyrghyzstan,19.48757396449704,-8.5,40.1,42.34319526627219,9,98,0,0.0,6.71439842209073,24.4,0.0,0,0
Lao People's Democratic Republic,25.0,25.0,25.0,95.0,95,95,0,0.0,5.6,5.6,0.0,0,0
Latvia,13.258498023715415,-6.8,32.1,70.9703557312253,28,100,0,0.0,8.958695652173914,25.1,0.0,0,0
