country,location_name,year_month,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10
Afghanistan,Kabul,2024-05,20.305882352941175,11.51764705882353,127.94117647058823,1010.0,0.10882352941176471,38.05882352941177,31.764705882352942,20.358823529411765,9.764705882352942,3.764705882352941,16.141176470588235,1424.0941176470587,77.45294117647059,16.400000000000002,0.5882352941176471,7.894117647058823,17.41176470588235
Afghanistan,Kabul,2024-06,25.59,17.11,126.83333333333333,1004.9,0.07266666666666667,24.833333333333332,20.833333333333332,24.603333333333335,9.8,6.5,20.336666666666666,1481.57,87.65,17.0,0.53,7.38,16.78666666666667
Afghanistan,Kabul,2024-07,31.303448275862067,20.731034482758623,103.86206896551724,998.0,0.0003448275862068966,17.93103448275862,13.068965517241379,29.475862068965515,10.0,7.758620689655173,23.841379310344827,624.7586206896551,119.32758620689656,4.7,0.30689655172413793,9.06551724137931,23.596551724137928
Afghanistan,Kabul,2024-08,30.848387096774193,20.19677419354839,57.70967741935484,1001.258064516129,0.037096774193548385,20.548387096774192,11.903225806451612,29.316129032258065,9.774193548387096,7.483870967741935,23.238709677419354,605.0258064516129,119.61290322580645,3.641935483870968,0.3064516129032258,9.638709677419355,22.674193548387095
Afghanistan,Kabul,2024-09,28.216666666666665,12.223333333333333,67.56666666666666,1004.8,0.014333333333333335,13.733333333333333,13.066666666666666,26.39,9.833333333333334,7.0,14.063333333333333,376.17333333333335,138.04666666666665,2.5236666666666667,13.977,20.99683333333333,42.791666666666664
Afghanistan,Kabul,2024-10,21.98709677419355,6.461290322580646,99.58064516129032,1011.8387096774194,0.10161290322580645,21.70967741935484,13.258064516129032,21.635483870967743,9.935483870967742,4.183870967741935,7.693548387096774,576.2451612903227,110.12903225806451,6.803225806451613,16.745483870967742,26.031290322580645,50.875
Afghanistan,Kabul,2024-11,15.67,4.6466666666666665,119.9,1015.9,0.002,27.466666666666665,19.666666666666668,15.656666666666666,9.966666666666667,2.76,7.743333333333334,916.7983333333334,88.4,9.817333333333332,10.588166666666666,19.048833333333334,29.760333333333335
Afghanistan,Kabul,2024-12,7.174193548387097,4.235483870967743,104.45161290322581,1018.3225806451613,0.0003225806451612903,22.387096774193548,14.64516129032258,6.922580645161291,10.0,0.6322580645161291,8.52258064516129,491.3838709677419,107.25806451612904,4.320645161290322,16.960322580645162,15.396774193548387,20.720000000000002
Afghanistan,Kabul,2025-01,1.3129032258064517,6.961290322580646,197.3548387096774,1022.8064516129032,0.07451612903225807,58.87096774193548,36.096774193548384,-0.6387096774193547,9.064516129032258,0.8548387096774194,9.280645161290321,954.5999999999999,134.2258064516129,12.97983870967742,6.773387096774194,28.251290322580644,33.96241935483871
Afghanistan,Kabul,2025-02,4.789285714285714,7.139285714285714,197.75,1019.3214285714286,0.05071428571428571,47.857142857142854,29.25,3.317857142857143,9.428571428571429,1.6500000000000001,9.15,665.8678571428571,125.96428571428571,6.871428571428572,7.2282142857142855,22.21982142857143,41.03035714285714
Afghanistan,Kabul,2025-03,11.993548387096775,6.32258064516129,192.70967741935485,1015.258064516129,0.06387096774193549,33.03225806451613,18.903225806451612,11.48709677419355,10.0,3.5580645161290323,9.64516129032258,560.2516129032258,119.35483870967742,3.926774193548387,10.718064516129031,14.817903225806452,34.03403225806452
Afghanistan,Kabul,2025-04,22.986666666666668,6.613333333333333,97.26666666666667,1010.2,0.0013333333333333333,18.4,19.433333333333334,22.366666666666667,9.966666666666667,7.653333333333333,9.156666666666666,702.4449999999999,119.2,5.593166666666667,15.009666666666668,18.623333333333335,52.70033333333333
Afghanistan,Kabul,2025-05,27.26774193548387,10.783870967741937,88.2258064516129,1005.8064516129032,0.14032258064516132,17.483870967741936,21.516129032258064,25.780645161290323,9.774193548387096,9.390322580645162,12.62258064516129,575.6483870967742,131.83870967741936,4.893548387096774,14.853709677419355,24.115645161290324,67.05951612903225
Afghanistan,Kabul,2025-06,31.013333333333332,12.126666666666667,109.13333333333334,1001.8666666666667,0.002333333333333333,13.0,7.833333333333333,29.060000000000002,10.0,10.353333333333333,14.183333333333334,564.8666666666667,141.13333333333333,3.872666666666667,17.063166666666667,32.060500000000005,104.377
Afghanistan,Kabul,2025-07,32.880645161290325,9.67741935483871,52.96774193548387,998.8387096774194,0.0006451612903225806,11.741935483870968,6.451612903225806,30.83225806451613,10.0,10.229032258064517,11.138709677419355,644.516129032258,144.51612903225808,4.756290322580645,15.766774193548386,30.638387096774192,106.42870967741935
Afghanistan,Kabul,2025-08,30.480645161290322,6.870967741935484,76.38709677419355,1003.0,0.0,15.35483870967742,2.7096774193548385,28.425806451612903,10.0,10.825806451612904,7.929032258064517,874.6322580645161,122.80645161290323,10.467419354838709,14.310645161290322,30.453387096774193,93.44290322580645
Afghanistan,Kabul,2025-09,26.984615384615385,5.588461538461539,74.07692307692308,1007.4230769230769,0.0,18.26923076923077,1.6153846153846154,25.465384615384615,10.0,8.961538461538462,7.438461538461539,1203.3538461538462,95.0,16.151923076923076,11.142692307692307,25.82884615384615,48.48423076923076
Albania,Tirana,2024-05,25.647058823529413,13.076470588235294,287.6470588235294,1012.2352941176471,0.2952941176470588,57.529411764705884,38.23529411764706,27.323529411764707,10.0,5.411764705882353,18.75294117647059,198.22352941176473,87.7235294117647,3.511764705882353,0.44705882352941173,10.270588235294117,24.552941176470586
