country,location_name,year,latitude,longitude,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Afghanistan,Kabul,2024,34.51870305676856,69.18129694323144,22.69694323144105,12.113973799126637,99.25764192139738,1008.0960698689956,0.03860262008733625,22.497816593886462,16.419213973799128,21.810043668122272,9.890829694323145,5.057205240174672,15.07947598253275,774.7430131004367,107.62925764192138,7.65532751091703,7.97438864628821,14.86,28.745873362445415,1.388646288209607,1.7729257641921397,48.672489082969435
Afghanistan,Kabul,2025,34.5167,69.1833,21.106691449814125,8.053903345724907,120.78810408921933,1009.3420074349442,0.03788104089219331,25.977695167286246,16.11524163568773,19.592193308550186,9.802973977695167,7.063197026022305,10.10743494423792,742.9366171003718,126.55018587360595,7.598754646840149,12.599944237918216,25.244591078066914,65.07254646840148,1.895910780669145,2.684014869888476,50.86617100371747
Albania,Tirana,2024,41.3290174672489,19.81956768558952,25.02227074235808,11.429694323144105,237.85589519650654,1014.8995633187773,0.16965065502183407,49.532751091703055,26.20524017467249,25.559388646288212,9.851091703056769,5.010917030567685,15.961572052401745,257.6386462882096,83.34628820960698,10.23,4.604235807860261,13.59377729257642,18.724323144104805,1.3493449781659388,1.6724890829694323,48.60698689956332
Albania,Tirana,2025,41.3275,19.8189,21.588847583643123,7.938661710037175,223.7806691449814,1016.4386617100372,0.0879182156133829,48.888475836431226,25.899628252788105,21.467657992565055,9.985130111524164,3.860223048327138,9.834200743494424,306.46728624535314,74.80669144981412,17.475278810408923,9.010669144981412,19.51921933085502,26.214981412639403,1.6691449814126393,2.1561338289962824,50.858736059479554
Algeria,Algiers,2024,36.76122368421052,3.050236842105263,25.15438596491228,15.312719298245614,174.41228070175438,1017.0350877192982,0.025350877192982454,55.4078947368421,28.04824561403509,26.760526315789473,9.74561403508772,4.786403508771929,20.516228070175437,307.3052631578948,88.34385964912282,30.107916666666664,12.67313596491228,18.584364035087717,35.21436403508772,1.5745614035087718,2.1228070175438596,48.39473684210526
Algeria,Algiers,2025,36.7631,3.0506,22.26542750929368,11.392193308550185,161.39405204460965,1017.4126394052045,0.040929368029739774,60.34944237918216,30.814126394052046,23.099628252788104,9.736059479553903,2.5475836431226764,15.87732342007435,353.87955390334577,57.5092936802974,40.991598513011155,18.71182156133829,24.59468401486989,44.61801115241636,1.8661710037174721,2.613382899628253,50.84014869888476
Andorra,Andorra La Vella,2024,42.5,1.518703056768559,14.105676855895195,9.516593886462882,211.50218340611355,1017.9650655021834,0.14786026200873362,57.38864628820961,44.209606986899566,13.451528384279476,9.593886462882097,3.2698689956331877,11.872052401746725,177.13165938864628,64.94235807860262,0.6167903930131005,0.16207423580786026,3.729759825327511,7.693100436681223,1.0305676855895196,1.0480349344978166,48.60698689956332
Andorra,Andorra La Vella,2025,42.5,1.5167,11.201115241635687,7.776579925650558,215.78810408921933,1017.914498141264,0.10691449814126394,59.56505576208178,38.80297397769517,10.2089219330855,9.58364312267658,2.486245353159851,10.723791821561338,200.12194423791823,72.26022304832713,1.7233048327137548,0.23039776951672863,6.670936802973977,11.987390334572492,1.0446096654275092,1.1263940520446096,50.858736059479554
Angola,Luanda,2024,-8.839331877729258,13.231729257641922,26.33580786026201,13.153711790393013,260.2314410480349,1012.5502183406113,0.03004366812227074,71.06113537117903,49.633187772925766,29.028384279475983,9.729257641921397,6.714847161572052,19.63231441048035,690.9368995633188,117.0703056768559,9.025524017467248,8.001550218340611,47.17834061135371,82.92676855895196,2.48471615720524,4.301310043668122,48.60698689956332
Angola,Luanda,2025,-8.8383,13.2344,26.230855018587363,6.919702602230483,170.33828996282529,1013.5613382899628,0.030483271375464683,73.98884758364312,66.56133828996282,29.42639405204461,9.229739776951673,4.863197026022305,9.624907063197025,546.5615241635687,74.13011152416357,10.821468401486989,7.344981412639405,30.933513011152417,39.42563197026023,2.174721189591078,3.2565055762081783,50.84014869888476
Antigua and Barbuda,Saint John's,2024,17.118700442477877,-61.85,27.93185840707965,19.58938053097345,98.12389380530973,1013.8672566371681,0.11278761061946904,77.429203539823,47.5353982300885,31.911504424778762,9.938053097345133,3.482300884955752,33.61106194690266,164.4216017699115,43.442477876106196,0.4861061946902655,0.6541504424778761,8.833199115044247,17.656809734513274,1.1858407079646018,1.407079646017699,48.650442477876105
Antigua and Barbuda,Saint John's,2025,17.1167,-61.849999999999994,25.886194029850746,27.948880597014927,91.89179104477611,1015.070895522388,0.10190298507462686,79.33208955223881,44.406716417910445,28.36828358208955,9.977611940298507,0.0014925373134328358,38.536567164179104,215.26560447761193,58.634328358208954,0.5067574626865672,0.5617873134328358,14.235932835820895,29.784466417910448,1.3059701492537314,1.708955223880597,50.88805970149254
Argentina,Buenos Aires,2024,-34.58901315789474,-58.670986842105265,13.177631578947368,11.136842105263158,145.16666666666666,1017.2763157894736,0.053289473684210525,80.70175438596492,26.214912280701753,12.47456140350877,9.065350877192984,2.691666666666667,16.685526315789474,517.2728070175439,35.9359649122807,17.449473684210528,7.28438596491228,10.259210526315789,14.152785087719298,1.1754385964912282,1.412280701754386,48.34649122807018
