country,month,temperature_celsius,humidity,precip_mm,wind_kph,pressure_mb,uv_index
Afghanistan,2024-05,20.305882352941175,38.05882352941177,0.10882352941176471,11.51764705882353,1010.0,3.764705882352941
Afghanistan,2024-06,25.59,24.833333333333332,0.07266666666666667,17.11,1004.9,6.5
Afghanistan,2024-07,31.303448275862067,17.93103448275862,0.0003448275862068966,20.731034482758623,998.0,7.758620689655173
Afghanistan,2024-08,30.848387096774193,20.548387096774192,0.037096774193548385,20.19677419354839,1001.258064516129,7.483870967741935
Afghanistan,2024-09,28.216666666666665,13.733333333333333,0.014333333333333335,12.223333333333333,1004.8,7.0
Afghanistan,2024-10,21.98709677419355,21.70967741935484,0.10161290322580645,6.461290322580646,1011.8387096774194,4.183870967741935
Afghanistan,2024-11,15.67,27.466666666666665,0.002,4.6466666666666665,1015.9,2.76
Afghanistan,2024-12,7.174193548387097,22.387096774193548,0.0003225806451612903,4.235483870967743,1018.3225806451613,0.6322580645161291
Afghanistan,2025-01,1.3129032258064517,58.87096774193548,0.07451612903225807,6.961290322580646,1022.8064516129032,0.8548387096774194
Afghanistan,2025-02,4.789285714285714,47.857142857142854,0.05071428571428571,7.139285714285714,1019.3214285714286,1.6500000000000001
Afghanistan,2025-03,11.993548387096775,33.03225806451613,0.06387096774193549,6.32258064516129,1015.258064516129,3.5580645161290323
Afghanistan,2025-04,22.986666666666668,18.4,0.0013333333333333333,6.613333333333333,1010.2,7.653333333333333
Afghanistan,2025-05,27.26774193548387,17.483870967741936,0.14032258064516132,10.783870967741937,1005.8064516129032,9.390322580645162
Afghanistan,2025-06,31.013333333333332,13.0,0.002333333333333333,12.126666666666667,1001.8666666666667,10.353333333333333
Afghanistan,2025-07,32.880645161290325,11.741935483870968,0.0006451612903225806,9.67741935483871,998.8387096774194,10.229032258064517
Afghanistan,2025-08,30.480645161290322,15.35483870967742,0.0,6.870967741935484,1003.0,10.825806451612904
Afghanistan,2025-09,26.833333333333332,17.266666666666666,0.0,5.503333333333333,1007.8,8.823333333333332
Afghanistan,2025-10,24.4,13.0,0.0,4.3,1007.0,7.5
Albania,2024-05,25.647058823529413,57.529411764705884,0.2952941176470588,13.076470588235294,1012.2352941176471,5.411764705882353
Albania,2024-06,30.84333333333333,45.766666666666666,0.05333333333333334,14.346666666666666,1012.9,7.133333333333334
Albania,2024-07,34.63793103448276,37.0,0.1093103448275862,18.78965517241379,1010.2413793103449,8.172413793103448
Albania,2024-08,34.980645161290326,32.12903225806452,0.02225806451612903,18.125806451612902,1010.5483870967741,8.129032258064516
Albania,2024-09,27.516666666666666,48.266666666666666,0.3893333333333333,9.120000000000001,1013.0,6.133333333333334
Albania,2024-10,21.835483870967742,56.806451612903224,0.14161290322580644,6.135483870967741,1019.5483870967741,3.1580645161290324
Albania,2024-11,13.783333333333333,59.13333333333333,0.08633333333333333,6.133333333333334,1020.8666666666667,1.21
Albania,2024-12,11.741935483870968,62.58064516129032,0.3132258064516129,6.77741935483871,1018.4193548387096,1.1064516129032258
Albania,2025-01,13.425806451612903,58.96774193548387,0.10580645161290321,6.280645161290322,1021.1612903225806,1.4161290322580644
Albania,2025-02,12.428571428571429,52.42857142857143,0.02035714285714286,5.175,1023.6071428571429,1.842857142857143
Albania,2025-03,16.067741935483873,51.61290322580645,0.2403225806451613,7.719354838709678,1016.4193548387096,2.638709677419355
Albania,2025-04,18.403333333333332,49.833333333333336,0.14400000000000002,8.13,1015.3,4.16
Albania,2025-05,21.664516129032258,50.96774193548387,0.21225806451612902,8.22258064516129,1013.9677419354839,4.767741935483872
Albania,2025-06,29.323333333333334,38.36666666666667,0.0,7.836666666666667,1016.4666666666667,6.5600000000000005
Albania,2025-07,30.361290322580647,36.58064516129032,0.014838709677419354,12.077419354838709,1011.4516129032259,5.948387096774193
Albania,2025-08,28.22258064516129,44.32258064516129,0.00870967741935484,8.916129032258064,1013.4193548387096,4.312903225806451
Albania,2025-09,23.373333333333335,60.266666666666666,0.02733333333333333,6.223333333333333,1016.8,2.6599999999999997
Albania,2025-10,17.3,68.0,0.0,3.6,1016.0,1.0
Algeria,2024-05,26.11764705882353,45.705882352941174,0.0005882352941176471,22.61764705882353,1013.3529411764706,6.0
Algeria,2024-06,27.89,46.733333333333334,0.0,23.71333333333333,1013.8,6.6
Algeria,2024-07,30.29642857142857,53.82142857142857,0.0,16.84642857142857,1013.8928571428571,7.321428571428571
Algeria,2024-08,31.483870967741936,51.74193548387097,0.0,17.580645161290324,1013.1612903225806,7.419354838709677
Algeria,2024-09,28.43,50.63333333333333,0.018333333333333333,15.01,1015.0333333333333,6.533333333333333
Algeria,2024-10,23.76774193548387,62.12903225806452,0.025161290322580646,10.425806451612903,1017.1290322580645,2.8451612903225807
Algeria,2024-11,19.44333333333333,66.3,0.08566666666666665,9.496666666666666,1021.3666666666667,0.9833333333333333
Algeria,2024-12,14.748387096774193,61.58064516129032,0.06032258064516129,10.332258064516129,1026.5483870967741,1.3741935483870968
Algeria,2025-01,15.019354838709678,63.03225806451613,0.10032258064516128,13.22258064516129,1022.8064516129032,1.493548387096774
Algeria,2025-02,15.424999999999999,65.78571428571429,0.05071428571428572,7.921428571428572,1023.0,2.1964285714285716
Algeria,2025-03,17.616129032258065,60.96774193548387,0.04193548387096774,15.070967741935483,1014.3870967741935,2.1774193548387095
Algeria,2025-04,19.7,59.13333333333333,0.06666666666666667,11.743333333333334,1015.5333333333333,2.9166666666666665
Algeria,2025-05,22.274193548387096,60.29032258064516,0.09258064516129033,11.958064516129031,1016.4193548387096,3.174193548387097
